Scenario,Model,Zone,RMSE,MAE,R2
SSP585,LightGBM,Nepal,1.0286906830742644,0.7961531796558834,0.9121821803489635
SSP585,LightGBM,Pakistan,0.6621530355757964,0.5153031127990388,0.576494121962996
SSP585,LightGBM,Sri Lanka,3.6206511309148164,3.1341429443784308,0.22613118227327034
SSP585,LightGBM,Zone 1,0.8003220102296492,0.6418823188906403,0.7046908422295781
SSP585,LightGBM,Zone 10,1.5702977102664117,1.0416928253756297,0.6353517823330102
SSP585,LightGBM,Zone 11,0.9122899354510746,0.749150534037426,0.8841222217688749
SSP585,LightGBM,Zone 12,4.795360708939559,3.3479964827576363,0.7655873822285566
SSP585,LightGBM,Zone 13,2.096725161421386,1.3133645147717123,0.7399680340822749
SSP585,LightGBM,Zone 14,1.2329721553157917,0.6414356216671845,0.7391269800248152
SSP585,LightGBM,Zone 15,4.309739736135543,2.9634744658493113,0.7213683910499583
SSP585,LightGBM,Zone 2,1.4811261185284408,1.1238148989906114,0.9116491133994727
SSP585,LightGBM,Zone 3,2.2636330132941387,1.7592391514892969,0.7900762271438383
SSP585,LightGBM,Zone 4,1.4772295080943671,0.8197309190300129,0.847359044941034
SSP585,LightGBM,Zone 5,1.3443516926931711,0.7934054204729862,0.8939798071885638
SSP585,LightGBM,Zone 6,1.0693401219882759,0.7285746335182393,0.8485780953001508
SSP585,LightGBM,Zone 7,1.075328318677688,0.7837300522799402,0.9443365653647072
SSP585,LightGBM,Zone 8,2.183828447289238,1.1588361456369194,0.8013877456485625
SSP585,LightGBM,Zone 9,1.4619541458443295,0.9941316723524749,0.8731752818382015
SSP585,CatBoost,Afghanistan,0.5560481623234884,0.33999749985728694,0.37690528260999223
SSP585,CatBoost,Bangladesh,2.563517264392287,1.584209591988258,0.8709190457822439
SSP585,CatBoost,Bhutan,1.0426000187302036,0.8271361991910878,0.9373690204840148
SSP585,CatBoost,Myanmar,1.755429175731348,1.2842861771941088,0.8914076878714454
SSP585,CatBoost,Nepal,1.152493792865028,0.8553834449029035,0.8897724315065512
SSP585,CatBoost,Pakistan,0.586280325548322,0.43581347373151047,0.6679883412686668
SSP585,CatBoost,Sri Lanka,3.7486241977557335,2.757921944170377,0.170459115074029
SSP585,CatBoost,Zone 1,0.8133167872899264,0.6398007046819402,0.6950231558466037
SSP585,CatBoost,Zone 10,1.6147436151566625,1.173625179760496,0.6144175555555312
SSP585,CatBoost,Zone 11,1.2284181792515725,0.9181329874307105,0.7898996082540662
SSP585,CatBoost,Zone 12,5.123740532931186,3.0046179129853523,0.7323836263233535
SSP585,CatBoost,Zone 13,2.535933018908902,1.3016710707866042,0.6196185913278348
SSP585,CatBoost,Zone 14,1.2541258215228905,0.7599607442063836,0.7300987800648432
SSP585,CatBoost,Zone 15,4.865445050531881,3.4368221483396506,0.6448813844937236
SSP585,CatBoost,Zone 2,1.8076180523733782,1.227984575328582,0.8684047628993373
SSP585,CatBoost,Zone 3,1.9784228077356565,1.3319374365090875,0.8396430435215676
SSP585,CatBoost,Zone 4,1.921877122573082,1.0763368374836686,0.741639354782766
SSP585,CatBoost,Zone 5,1.6438844684424712,1.0537938885655853,0.8414722201395182
SSP585,CatBoost,Zone 6,1.2230358247915019,0.9060368609173856,0.8019224125883155
SSP585,CatBoost,Zone 7,1.3047406125947056,0.681309474844463,0.9180524081040843
SSP585,CatBoost,Zone 8,2.5185635622915146,1.3466623534805107,0.7358352685206664
SSP585,CatBoost,Zone 9,2.2884057692193385,1.3941457854539074,0.689256200621555
SSP585,StackingEnsemble,Afghanistan,0.5249004135922988,0.3192000047359747,0.4447570158556414
SSP585,StackingEnsemble,Bangladesh,2.891133859307629,2.2562897147613428,0.8358177988337959
SSP585,StackingEnsemble,Bhutan,2.884993702466496,1.9551293173814344,0.5204394097213515
SSP585,StackingEnsemble,Myanmar,1.4845658596750513,0.9410361795853809,0.9223339185931861
SSP585,StackingEnsemble,Nepal,1.1229679560252872,0.8667470036231003,0.8953479439854275
SSP585,StackingEnsemble,Pakistan,0.611707684703668,0.4629477267953029,0.6385646996170405
SSP585,StackingEnsemble,Sri Lanka,3.650600698803809,3.101356936545137,0.21327554133511295
SSP585,StackingEnsemble,Zone 1,0.6427867119563553,0.508477368396719,0.809506055982242
SSP585,StackingEnsemble,Zone 10,1.6717660408829405,1.4112171989003686,0.5867040987025569
SSP585,StackingEnsemble,Zone 11,1.407366052532651,1.3393327467796707,0.724229037735813
SSP585,StackingEnsemble,Zone 12,5.3256048754290575,3.489428608087889,0.7108812172165835
SSP585,StackingEnsemble,Zone 13,3.6193451590716523,1.8786895899402112,0.2251748147363194
SSP585,StackingEnsemble,Zone 14,1.3114520604322024,0.8276174923501793,0.7048604113853187
SSP585,StackingEnsemble,Zone 15,4.849382440853956,3.4428799900635805,0.6472222663414864
SSP585,StackingEnsemble,Zone 2,1.6994702850517867,1.0669988095225735,0.8836801102372521
SSP585,StackingEnsemble,Zone 3,1.8668877139762714,1.4451565136270048,0.8572138840768837
SSP585,StackingEnsemble,Zone 4,1.740353548770544,1.0404024337265485,0.788139451379516
SSP585,StackingEnsemble,Zone 5,1.9495236518555814,1.1324168438654678,0.7770436684813168
SSP585,StackingEnsemble,Zone 6,1.5116810402359926,0.9713358873982837,0.6973941545888924
SSP585,StackingEnsemble,Zone 7,1.1127626896977492,0.6267497099991165,0.9403935927920037
SSP585,StackingEnsemble,Zone 8,2.867011730501503,1.5335385174934604,0.6576834135487422
SSP585,StackingEnsemble,Zone 9,2.181061695385442,1.4682242385596982,0.7177250724338317
